 0 - 1	6941 
 1 - 2	4359 
 10 - 11	6483 
 11 - 12	6786 
 12 - 13	9021 
 13 - 14	7268 
 14 - 15	7621 
 15 - 16	8329 
 16 - 17	8656 
 17 - 18	9559 
 18 - 19	9718 
 19 - 20	8981 
 2 - 3	3494 
 20 - 21	8098 
 21 - 22	7480 
 22 - 23	7099 
 23 - 24	6573 
 3 - 4	2553 
 4 - 5	1885 
 5 - 6	1744 
 6 - 7	2518 
 7 - 8	3894 
 8 - 9	5575 
 9 - 10	5865 
